log_X,log_y
-1.3802371,-0.6487367
1.9124229,-0.5808021
-1.6737226,1.309653
-1.8110347,-1.0698392
-1.7307264,0.2931163
-2.3444617,-1.410784
1.2437248,-0.018021524
0.50229007,-0.71463156
-1.1384277,0.48322478
1.3142838,-0.029426396
0.43712005,1.778894
-1.1842846,0.51543343
-0.30419117,0.26462105
-1.7917138,0.8852229
-1.1424468,1.4453275
-0.24783725,1.0971981
-0.19727062,0.69164264
-1.7191579,-0.63979816
0.1773535,0.7910756
-0.26204205,0.68258035
-2.8656983,0.097752586
-1.9521561,-0.729047
-1.2372684,0.4800412
-0.79838765,0.3434714
-1.8834398,-0.86445165
1.8371342,0.2994905
0.43023908,1.6358356
-2.078352,-0.037290245
2.4316995,1.9223701
-0.6493818,0.99635285
0.15335956,0.4290496
-2.8718598,-1.8070347
-0.65504175,1.8381714
-2.4498696,-0.14013085
-0.44236562,-0.65048987
2.6582122,1.3945485
0.5213463,1.0102003
-1.0644367,-0.58043677
0.26055416,-1.3334093
-1.7352533,0.71106434
-1.1819438,1.857836
-0.62048167,0.97362673
-2.5857782,-0.66264457
0.8719858,0.6398838
2.324159,2.3372998
-2.7490156,-1.2015681
2.5775137,0.7219974
1.4447906,0.295676
2.2339916,2.0108187
-2.4755304,-0.9101968
-1.4648235,-0.20374072
0.26061,1.7210256
1.0680864,-0.22188836
1.0248808,0.47446775
0.8639545,0.24404752
0.9895948,2.4382792
2.0843399,1.5332772
-2.1296494,0.023583889
1.5610579,1.0885146
0.71736383,0.20277447
-2.5486188,0.65943503
-2.1015906,-0.7513596
0.47554368,1.6190634
-1.893699,0.9767065
-0.9950587,0.83256996
-2.7676592,0.4696288
1.5990192,1.1968989
-1.347732,-0.5434905
-1.016921,-1.8552196
0.4727206,1.6395106
2.4200926,3.161222
2.1284654,0.77765954
2.2164536,1.5883129
2.245538,0.825072
-1.6334715,0.9435027
0.16752328,0.15962619
0.23927334,-0.6636988
0.71889955,1.6005354
2.597835,1.023132
-0.7818372,0.069061995
0.43668097,-1.0999421
1.9428694,0.9803699
-1.5699946,0.20477435
1.0965446,-0.27972633
-1.89616,0.09072298
1.756019,1.1259737
1.2941632,-0.7320436
-1.9833733,-0.44104573
-0.23019189,1.9158846
-2.6936176,-1.5361309
0.6759705,-0.10286182
-2.831134,-0.38406402
0.55302197,0.66003317
1.4713947,2.6145415
1.1233643,-0.09312552
2.9308877,1.471896
2.5264044,0.7276141
-0.21175003,1.6031072
2.632972,0.58562106
0.87249035,0.71178234
-1.7975149,0.8363887
1.947253,0.92817557
-0.7033328,0.993139
-1.2710409,1.4403604
-2.4377735,-2.1578784
2.8841813,1.9468198
-2.0527449,-1.0216184
2.662634,0.71612823
2.8827975,1.1815264
2.4224527,1.3182424
2.856083,0.82915074
1.3555335,2.0749102
-2.2170446,-1.5577446
-2.751251,0.14329138
2.3904576,1.4146768
2.8007872,2.2837725
-1.3020072,1.7083777
-0.78607124,2.3523178
-0.15769783,0.19489896
-1.80948,1.2704828
-0.98093885,-0.035430133
1.6049427,1.1341022
0.45790225,0.019263685
-0.58231956,0.10935539
0.4503895,1.4125427
-0.0787685,0.011274755
1.9384578,1.240645
-0.3225035,-0.24241954
0.32746956,1.2452238
-2.8627818,-0.4383632
0.14653678,0.9802855
-0.3851902,0.039087296
-2.472593,-0.54788125
0.21211202,-0.37124622
-1.8958647,-1.4163973
0.013681965,-1.4206061
0.8587487,-0.027727544
-0.8756804,0.12794858
-0.5286066,1.2185892
-1.9160825,-2.0462165
1.9671946,0.9396161
-0.7200223,2.5298266
-0.84864557,1.5572599
-1.9561633,-0.7891819
0.97210544,1.1301081
1.6846915,0.3991921
-2.6294966,0.7979781
-1.090172,-1.2519652
0.47671703,0.16702223
-2.9114435,-0.2614191
0.28634867,-0.23984277
2.970829,1.432803
2.446359,2.6527882
-0.27337918,-0.09916484
-1.9219868,0.7943206
-1.8641267,0.23340784
-1.9507002,1.4138671
0.44388914,0.97803146
1.2754873,2.1531515
-2.2953348,-2.5148711
2.4558144,2.8491359
-2.4324405,-0.1511468
2.3321173,0.69243145
-0.9304526,-0.28899437
1.9145111,1.1631947
-0.7592783,2.288271
-0.82416034,0.95245457
-0.55200195,-0.71784943
1.7110488,0.9627894
1.898383,0.83031726
-1.085673,-0.85778534
1.8681781,-0.6927054
0.24944009,-1.1807097
1.1071258,1.5089649
1.933587,1.1183664
-2.9300647,-0.67608404
0.2799349,1.5772898
2.1768973,1.5570025
-0.73284703,1.2338581
-2.1422577,0.3346617
1.2730409,1.4022489
0.48104644,-0.20487261
-1.6899958,0.29410675
0.8534172,0.16400617
-1.4901468,-1.3999066
-1.8878844,0.28369173
-0.6180967,1.1853422
-0.30596521,2.7084188
1.2632589,0.803877
0.53788495,1.0680469
0.25144556,1.9190044
2.4956455,0.27503562
2.3428366,0.6115477
-1.5843092,-0.5655817
0.014788988,1.6881325
2.1552725,0.18357742
-2.7266588,0.63914925
-0.3663601,1.3750887
-2.140825,0.23321864
0.37034923,0.72367376
